English	Russian	Lithuanian
Seychelles	Сейшелы	Seišeliai 
Saint Pierre and Miquelon	Сент-Пьер и Микелон	Sen Pjeras ir Mikelonas 
Senegal	Сенегал	Senegalas 
Saint Kitts and Nevis	Сент-Китс и Невис	Sent Kitsas ir Nevis 
Saint Lucia	Сент-Люсия	Sent Lusija 
Saint Vincent and the Grenadines	Сент-Винсент и Гренадины	Sent Vinsentas ir Grenadinai 
Serbia	Сербия	Serbija 
North Korea	Северная Корея	Šiaurės Korėja
Sierra Leone	Сьерра-Леоне	Siera Leonė 
Singapore	Сингапур	Singapūras 
Sint Maarten	Синт-Мартен	Sint Martenas
Syrian Arab Republic	Сирийская Арабская Республика	Sirija 
Scotland	Шотландия	Škotija 
Slovakia	Словакия	Slovakija 
Slovenia	Словения	Slovėnija 
Somalia	Сомали	Somalis 
Sri Lanka	Шри-Ланка	Šri Lanka 
Sudan	Судан	Sudanas 
Finland	Финляндия	Suomija 
Suriname	Суринам	Surinamas 
Svalbard and Jan Mayen	Шпицберген и Ян Майен	Svalbardas
Swaziland	Свазиленд	Svazilandas 
Sweden	Швеция	Švedija 
Switzerland	Швейцария	Šveicarija 
Holy See (Vatican City State)	Папский Престол (Государство &mdash; город Ватикан)	Šventasis Sostas 
Saint Barthélemy	Сен-Бартельми	Šventos Elenos sala 
Tajikistan	Таджикистан	Tadžikija 
Thailand	Таиланд	Tailandas 
Taiwan	Тайвань	Taivanas 
Tanzania	Танзания	Tanzanija 
Turks and Caicos Islands	Острова Теркс и Кайкос	Terksas ir Kaikosas 
Togo	Того	Togas 
Tokelau	Токелау	Tokelau 
Tonga	Тонга	Tonga 
Trinidad and Tobago	Тринидад и Тобаго	Trinidadas ir Tobagas 
Tunisia	Тунис	Tunisas 
Turkey	Турция	Turkija 
Turkmenistan	Туркмения	Turkmėnija 
Tuvalu	Тувалу	Tuvalu 
Uganda	Уганда	Uganda 
Ukraine	Украина	Ukraina 
Uruguay	Уругвай	Urugvajus 
Uzbekistan	Узбекистан	Uzbekistanas 
Western Sahara	Западная Сахара	Vakarų Sachara 
Vanuatu	Вануату	Vanuatu 
Virgin Islands British	Виргинские острова Британские	Velsas 
Venezuela	Венесуэла Боливарианская Республика	Venesuela 
Hungary	Венгрия	Vengrija 
Vietnam	Вьетнам	Vietnamas 
Germany	Германия	Vokietija 
Wallis and Futuna	Уоллис и Футуна	Volisas ir Futūna 
Cape Verde	Кабо-Верде	Žaliasis Kyšulys 
Zambia	Замбия	Zambija 
Zimbabwe	Зимбабве	Zimbabvė 
